종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","1845","-15","-0.81","1865","1865","1835","76295","141152655","77442284610","41974138"
"095570","AJ네트웍스","KOSPI",,"6970","-30","-0.43","7090","7090","6850","45771","315718570","326351396150","46822295"
"068400","AJ렌터카","KOSPI",,"9910","30","0.30","9830","10100","9790","357703","3538160360","219469833000","22146300"
"006840","AK홀딩스","KOSPI",,"68500","600","0.88","68000","68500","66700","18963","1291636900","907457928500","13247561"
"054620","APS홀딩스","KOSDAQ","우량기업부","7510","110","1.49","7380","7610","7370","68893","518380310","89601269280","11930928"
"265520","AP시스템","KOSDAQ","중견기업부","35100","100","0.29","35000","35600","34850","126523","4455699050","480134058300","13679033"
"211270","AP위성","KOSDAQ","중견기업부","8530","70","0.83","8460","8550","8400","49681","422672160","128076278120","15014804"
"027410","BGF","KOSPI",,"15250","900","6.27","14450","15400","14450","1170675","17589903400","492021714750","32263719"
"282330","BGF리테일","KOSPI",,"210000","-2500","-1.18","210500","213000","209500","28678","6032219000","3629620260000","17283906"
"138930","BNK금융지주","KOSPI",,"9420","80","0.86","9320","9430","9260","629232","5891001724","3070310017320","325935246"
"001460","BYC","KOSPI",,"306000","-500","-0.16","306500","307000","305500","671","205365000","191132190000","624615"
"001465","BYC우","KOSPI",,"152500","-500","-0.33","147000","152500","147000","26","3885500","32846212500","215385"
"032040","C&S자산관리","KOSDAQ","관리종목(소속부없음)","4375","0","0.00","0","0","0","0","0","31816706250","7272390"
"001040","CJ","KOSPI",,"181500","4000","2.25","178500","182000","177000","37405","6761125150","5295625137000","29176998"
"079160","CJ CGV","KOSPI",,"74200","100","0.13","74200","75200","73900","99695","7435191400","1570169424600","21161313"
"130960","CJ E&M","KOSDAQ","우량기업부","97700","100","0.10","97000","100000","96500","291502","28675266300","3784125095300","38732089"
"000120","CJ대한통운","KOSPI",,"140000","0","0.00","140500","142500","139500","34056","4802178375","3193728160000","22812344"
"011150","CJ씨푸드","KOSPI",,"2875","35","1.23","2850","2875","2825","55258","157772620","103300972375","35930773"
"011155","CJ씨푸드1우","KOSPI",,"26150","-100","-0.38","26300","26300","25550","1512","39199250","5230000000","200000"
"035760","CJ오쇼핑","KOSDAQ","우량기업부","231000","-8700","-3.63","236200","239500","228700","39124","9041518000","1435784658000","6215518"
"001045","CJ우","KOSPI",,"77100","1300","1.72","76900","77600","76000","2195","169110300","174263193300","2260223"
"097950","CJ제일제당","KOSPI",,"366000","-2000","-0.54","368000","368500","364000","29754","10891319035","4822689768000","13176748"
"097955","CJ제일제당 우","KOSPI",,"150500","-2000","-1.31","153000","153000","150500","11855","1791425000","199778666500","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","39800","850","2.18","38950","39800","38350","28877","1128202150","472489122800","11871586"
"037560","CJ헬로","KOSPI",,"7100","120","1.72","6970","7100","6950","115579","812611950","549872741500","77446865"
"058820","CMG제약","KOSDAQ","벤처기업부","6240","50","0.81","6340","6430","6190","6945828","43574021080","679456402560","108887244"
"023460","CNH","KOSDAQ","중견기업부","1315","0","0.00","1315","1330","1305","29064","38179865","48918000000","37200000"
"065770","CS","KOSDAQ","투자주의환기종목(소속부없음)","1805","105","6.18","1715","1805","1680","96796","167497095","33997445750","18835150"
"083660","CSA 코스믹","KOSDAQ","중견기업부","3785","105","2.85","3680","3790","3540","111891","411094125","74744821185","19747641"
"000590","CS홀딩스","KOSPI",,"80200","100","0.12","80000","80200","78400","438","34705100","92589456400","1154482"
"012030","DB","KOSPI",,"658","8","1.23","650","662","642","216245","141630068","122345784694","185935843"
"016610","DB금융투자","KOSPI",,"4005","50","1.26","3980","4015","3930","30057","119516475","169997787945","42446389"
"045890","DB라이텍","KOSDAQ","중견기업부","1935","70","3.75","1865","1945","1860","109457","208652715","50996955960","26355016"
"005830","DB손해보험","KOSPI",,"71200","600","0.85","70600","71300","70000","66774","4734941920","5040960000000","70800000"
"000990","DB하이텍","KOSPI",,"12000","150","1.27","11850","12100","11750","194214","2320631200","532413984000","44367832"
"000995","DB하이텍1우","KOSPI",,"34150","1150","3.48","33300","34600","32600","482","16051400","3835591400","112316"
"139130","DGB금융지주","KOSPI",,"10550","-100","-0.94","10550","10600","10400","332040","3484071367","1784488538150","169145833"
"068790","DMS","KOSDAQ","우량기업부","6720","200","3.07","6580","6730","6540","117719","785668600","154139912640","22937487"
"004840","DRB동일","KOSPI",,"7860","-10","-0.13","7870","7870","7720","23255","180242740","149340000000","19000000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","5380","70","1.32","5270","5460","5240","620435","3320164510","94150000000","17500000"
"155660","DSR","KOSPI",,"5170","80","1.57","5090","5230","5060","64097","329721070","82720000000","16000000"
"069730","DSR제강","KOSPI",,"5240","180","3.56","5070","5350","5070","165625","869463760","75456000000","14400000"
"017940","E1","KOSPI",,"56900","300","0.53","56800","56900","56400","4230","240320600","390334000000","6860000"
"037370","EG","KOSDAQ","중견기업부","11050","150","1.38","11000","11150","10800","67126","736966750","82875000000","7500000"
"079190","EMW","KOSDAQ","중견기업부","3055","-90","-2.86","3080","3165","2970","2615968","7977571330","92485068975","30273345"
"007700","F&F","KOSPI",,"41950","-700","-1.64","42750","42800","41850","62930","2649207450","646030000000","15400000"
"130500","GH신소재","KOSDAQ","중견기업부","3435","5","0.15","3430","3460","3380","46883","160967645","37785000000","11000000"
"114090","GKL","KOSPI",,"29250","-50","-0.17","29450","29450","28900","129923","3784761250","1809278347500","61855670"
"032860","GMR 머티리얼즈","KOSDAQ","중견기업부","527","-2","-0.38","523","537","521","310064","163379290","35603508680","67558840"
