종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2215","-25","-1.12","2270","2270","2190","49523","110660610","98336869770","44395878"
"095570","AJ네트웍스","KOSPI",,"4505","90","2.04","4415","4505","4360","26903","119659200","210934438975","46822295"
"068400","AJ렌터카","KOSPI",,"12300","100","0.82","12250","12550","12150","112675","1389612050","272399490000","22146300"
"006840","AK홀딩스","KOSPI",,"54000","-500","-0.92","54800","54800","53000","14626","787046100","715368294000","13247561"
"054620","APS홀딩스","KOSDAQ","우량기업부","4220","50","1.20","4240","4240","4135","15162","63900210","86063612620","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","21700","450","2.12","21350","22050","21350","126743","2757859850","305959388700","14099511"
"211270","AP위성","KOSDAQ","벤처기업부","6430","140","2.23","6350","6440","6230","19655","124509300","96545189720","15014804"
"027410","BGF","KOSPI",,"8070","-40","-0.49","8120","8210","8050","74603","604626010","769629274530","95369179"
"282330","BGF리테일","KOSPI",,"204000","1000","0.49","203000","207500","203000","16108","3303972500","3525916824000","17283906"
"138930","BNK금융지주","KOSPI",,"7330","-20","-0.27","7340","7380","7290","833226","6114799170","2389105353180","325935246"
"001460","BYC","KOSPI",,"246000","0","0.00","245000","246000","244000","89","21880000","153655290000","624615"
"001465","BYC우","KOSPI",,"114000","0","0.00","113500","114000","111500","46","5153000","24553890000","215385"
"001040","CJ","KOSPI",,"121500","1000","0.83","120500","121500","119000","53727","6471953500","3545005257000","29176998"
"079160","CJ CGV","KOSPI",,"41000","-100","-0.24","41200","41500","40650","77207","3163325450","867613833000","21161313"
"035760","CJ ENM","KOSDAQ","우량기업부","201900","900","0.45","201000","204100","199300","41428","8395174500","4426936929600","21926384"
"000120","CJ대한통운","KOSPI",,"167000","-1500","-0.89","169500","169500","165500","28950","4838444500","3809661448000","22812344"
"011150","CJ씨푸드","KOSPI",,"2320","50","2.20","2280","2335","2280","26584","61406900","83359393360","35930773"
"011155","CJ씨푸드1우","KOSPI",,"27150","0","0.00","27150","27500","26700","338","9084150","5430000000","200000"
"001045","CJ우","KOSPI",,"52000","-100","-0.19","52000","52300","51500","6590","341986900","117531596000","2260223"
"097950","CJ제일제당","KOSPI",,"330500","5000","1.54","324500","335000","324500","33651","11101609500","4975408473000","15054186"
"097955","CJ제일제당 우","KOSPI",,"125000","500","0.40","124500","125000","124000","1653","206022000","165929125000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","26500","500","1.92","26000","26900","25500","39511","1042567550","314597029000","11871586"
