종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2210","-5","-0.23","2180","2230","2170","176261","386814665","96502394820","43666242"
"095570","AJ네트웍스","KOSPI",,"7170","50","0.70","7120","7280","7100","37428","268183830","335715855150","46822295"
"068400","AJ렌터카","KOSPI",,"13000","100","0.78","13000","13200","12800","463687","6026640100","287901900000","22146300"
"006840","AK홀딩스","KOSPI",,"74600","1700","2.33","73000","76600","73000","70021","5277636900","988268050600","13247561"
"054620","APS홀딩스","KOSDAQ","우량기업부","7210","-150","-2.04","7420","7530","7160","141450","1032055620","147042333410","20394221"
"265520","AP시스템","KOSDAQ","중견기업부","27150","-1100","-3.89","28150","28250","27150","199056","5485034550","377363605800","13899212"
"211270","AP위성","KOSDAQ","중견기업부","8540","380","4.66","8150","8620","8100","66676","561766540","128226426160","15014804"
"027410","BGF","KOSPI",,"13250","150","1.15","13200","13650","12950","518834","6949277850","1263641621750","95369179"
"282330","BGF리테일","KOSPI",,"169500","500","0.30","170000","170000","164000","36758","6129760500","2929622067000","17283906"
"138930","BNK금융지주","KOSPI",,"10400","0","0.00","10450","10450","10300","518142","5378558450","3389726558400","325935246"
"001460","BYC","KOSPI",,"287000","-1000","-0.35","288500","288500","284000","132","37551000","179264505000","624615"
"001465","BYC우","KOSPI",,"150500","-500","-0.33","150500","151500","149000","62","9312500","32415442500","215385"
"032040","C&S자산관리","KOSDAQ","투자주의환기종목(소속부없음)","4375","0","0.00","0","0","0","0","0","32149836250","7348534"
"001040","CJ","KOSPI",,"164000","5000","3.14","159000","165000","158500","97695","16011275500","4785027672000","29176998"
"079160","CJ CGV","KOSPI",,"68600","600","0.88","68200","70300","68000","148830","10286246200","1451666071800","21161313"
"130960","CJ E&M","KOSDAQ","우량기업부","93600","2100","2.30","93000","94300","92500","314863","29529093300","3625323530400","38732089"
"000120","CJ대한통운","KOSPI",,"138000","500","0.36","138500","142000","137500","71402","9911088000","3148103472000","22812344"
"011150","CJ씨푸드","KOSPI",,"2735","5","0.18","2730","2940","2710","183837","510374065","98270664155","35930773"
"011155","CJ씨푸드1우","KOSPI",,"26950","-50","-0.19","26750","27350","26500","1648","43988400","5390000000","200000"
"035760","CJ오쇼핑","KOSDAQ","우량기업부","228800","5400","2.42","223600","230100","223500","22135","5071639400","1422110518400","6215518"
"001045","CJ우","KOSPI",,"70300","1200","1.74","69500","71500","69500","2578","181441900","158893676900","2260223"
"097950","CJ제일제당","KOSPI",,"329500","8000","2.49","322500","332000","322000","84037","27664875000","4960024787000","15053186"
"097955","CJ제일제당 우","KOSPI",,"136500","2000","1.49","134000","136500","134000","2729","369933000","181194604500","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","35000","-600","-1.69","35450","35800","34700","23055","807522500","415505510000","11871586"
"037560","CJ헬로","KOSPI",,"8440","50","0.60","8510","8810","8390","303815","2612244410","653651540600","77446865"
"058820","CMG제약","KOSDAQ","벤처기업부","6640","-120","-1.78","6840","6870","6550","3836423","25564219420","723011300160","108887244"
"023460","CNH","KOSDAQ","중견기업부","1380","-20","-1.43","1435","1440","1380","357879","504459095","51336000000","37200000"
"065770","CS","KOSDAQ","투자주의환기종목(소속부없음)","2135","20","0.95","2095","2135","2070","22641","47681990","40213045250","18835150"
"083660","CSA 코스믹","KOSDAQ","중견기업부","9520","810","9.30","9000","9840","8990","1723003","16316305770","187997542320","19747641"
"000590","CS홀딩스","KOSPI",,"75900","-100","-0.13","75700","76800","75600","87","6610800","87625183800","1154482"
"012030","DB","KOSPI",,"800","-28","-3.38","828","828","787","1215009","969986476","154843911200","193554889"
"016610","DB금융투자","KOSPI",,"4140","20","0.49","4115","4200","4075","49287","203657430","175728050460","42446389"
"045890","DB라이텍","KOSDAQ","중견기업부","1755","15","0.86","1740","1785","1720","95942","167578910","46253053080","26355016"
"005830","DB손해보험","KOSPI",,"63800","-1200","-1.85","64600","65600","63500","113096","7264204500","4517040000000","70800000"
"000990","DB하이텍","KOSPI",,"14150","-600","-4.07","14500","14550","13750","1074305","15088249250","627804822800","44367832"
"000995","DB하이텍1우","KOSPI",,"35800","1100","3.17","34650","35800","34600","273","9583900","4020912800","112316"
"139130","DGB금융지주","KOSPI",,"11400","-250","-2.15","11650","11700","11300","438872","5002456900","1928262496200","169145833"
"068790","DMS","KOSDAQ","우량기업부","6930","-120","-1.70","7030","7150","6880","149272","1040513320","159476534910","23012487"
"004840","DRB동일","KOSPI",,"7300","80","1.11","7280","7320","7150","10060","73147310","138700000000","19000000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","5340","-10","-0.19","5330","5400","5300","152828","816201280","93450000000","17500000"
"155660","DSR","KOSPI",,"5510","-100","-1.78","5660","5660","5500","53543","296936970","88160000000","16000000"
"069730","DSR제강","KOSPI",,"5930","-70","-1.17","6090","6090","5820","154672","915510890","85392000000","14400000"
"017940","E1","KOSPI",,"60100","200","0.33","60000","60300","59300","5363","321934000","412286000000","6860000"
"037370","EG","KOSDAQ","중견기업부","10600","200","1.92","10400","10650","10350","48051","507968850","79500000000","7500000"
"079190","EMW","KOSDAQ","중견기업부","3355","-420","-11.13","3700","3700","3295","3602867","12284876670","106635980935","31784197"
"007700","F&F","KOSPI",,"42150","1550","3.82","41200","42650","41200","30374","1282943700","649110000000","15400000"
"130500","GH신소재","KOSDAQ","중견기업부","4065","105","2.65","3965","4110","3965","68166","276018730","44715000000","11000000"
"114090","GKL","KOSPI",,"27200","1500","5.84","27100","28100","26800","1191711","32775596250","1682474224000","61855670"
"032860","GMR 머티리얼즈","KOSDAQ","중견기업부","617","-25","-3.89","642","644","612","809891","503042336","41683804280","67558840"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3105","110","3.67","3035","3255","2980","317208","982319755","209199375000","67375000"
"078930","GS","KOSPI",,"64000","1900","3.06","62100","64300","62100","220880","14106284900","5946584192000","92915378"
"083450","GST","KOSDAQ","벤처기업부","9880","-470","-4.54","10350","10500","9840","129099","1289056490","92059320600","9317745"
"006360","GS건설","KOSPI",,"28800","-800","-2.70","29350","29600","28600","323370","9355341950","2064796243200","71694314"
"001250","GS글로벌","KOSPI",,"3640","-45","-1.22","3715","3725","3590","472383","1721285450","300422900960","82533764"
"007070","GS리테일","KOSPI",,"33600","950","2.91","32750","33950","32300","299316","10060626550","2587200000000","77000000"
"078935","GS우","KOSPI",,"41000","250","0.61","40500","41300","40500","2677","110031600","73177866000","1784826"
"028150","GS홈쇼핑","KOSDAQ","우량기업부","188200","-300","-0.16","188600","190700","186200","10561","2003505600","1235062500000","6562500"
"078150","HB테크놀러지","KOSDAQ","우량기업부","3095","-80","-2.52","3190","3195","3090","823111","2574506530","244475368470","78990426"
"036640","HRS","KOSDAQ","우량기업부","4570","-60","-1.30","4645","4645","4530","45464","208094200","74741436000","16354800"
"225430","IBKS제3호스팩","KOSDAQ","SPAC(소속부없음)","2110","0","0.00","0","0","0","0","0","9495000000","4500000"
"254120","IBKS제5호스팩","KOSDAQ","SPAC(소속부없음)","2095","-20","-0.95","2100","2105","2075","2940","6107655","9427500000","4500000"
"264850","IBKS제6호스팩","KOSDAQ","SPAC(소속부없음)","2060","10","0.49","2040","2100","2040","2325","4780835","8888900000","4315000"
"276920","IBKS제7호스팩","KOSDAQ","SPAC(소속부없음)","2060","5","0.24","2055","2060","2055","14459","29713280","7519000000","3650000"
"277410","IBKS제8호스팩","KOSDAQ","SPAC(소속부없음)","2735","0","0.00","0","0","0","0","0","6044350000","2210000"
"003560","IHQ","KOSPI",,"2915","15","0.52","2905","3040","2880","3504519","10409082805","423122443755","145153497"
"095340","ISC","KOSDAQ","우량기업부","16300","-550","-3.26","16850","17150","16300","79664","1321541950","221720717400","13602498"
"099520","ITX엠투엠","KOSDAQ","벤처기업부","1405","-5","-0.35","1410","1435","1395","35668","50179065","23134914055","16466131"
"175330","JB금융지주","KOSPI",,"6110","-80","-1.29","6190","6190","6100","114447","701143110","949734874530","155439423"
"234080","JW생명과학","KOSPI",,"52100","-300","-0.57","52900","53500","51500","22177","1162359900","412490131700","7917277"
"067290","JW신약","KOSDAQ","중견기업부","8760","-120","-1.35","8950","8980","8700","397513","3503863140","357213475440","40777794"
